interval_idx,mean,std,count,sharpe,strategy
4,-0.0010974943455298383,0.0037328020971330355,1116,-4.66732019755623,Short-Term Reversal
5,-0.001201786851702421,0.003374072432976315,1116,-5.654228001928946,Short-Term Reversal
6,-0.0011924634953869077,0.002927989559000676,1116,-6.465108825169511,Short-Term Reversal
7,-0.0011441305944196753,0.002792352386746358,1116,-6.504376097908152,Short-Term Reversal
8,-0.0011597454614086773,0.0029179915767070493,1116,-6.309267167561671,Short-Term Reversal
9,-0.001138472526755707,0.003709681767883035,1116,-4.871763189531733,Short-Term Reversal
10,-0.0010585271045200346,0.0032847391533088,1116,-5.115656392551304,Short-Term Reversal
11,-0.0010415441114829292,0.0032535135406391593,1116,-5.081890695828254,Short-Term Reversal
12,-0.0011398683339932398,0.0034357876289423947,1116,-5.266579541236579,Short-Term Reversal
13,-0.0009439834609301338,0.0032787443698928088,1116,-4.570430379958245,Short-Term Reversal
14,-0.0012506789335731,0.003640736660491017,1116,-5.453267956670536,Short-Term Reversal
15,-0.0009590814155189077,0.0037684061473157665,1116,-4.040155142514488,Short-Term Reversal
16,-0.0012020387716072764,0.00452357021763119,1116,-4.218299488578488,Short-Term Reversal
1,-0.00025746099432415783,0.007370768766070606,1116,-0.5544966487757067,Composite (K=5 + Rev)
2,-0.0011842290271159553,0.004979296084428688,1116,-3.7754438956432645,Composite (K=5 + Rev)
3,-0.0011930688202250574,0.00477002573444394,1116,-3.9704985730044946,Composite (K=5 + Rev)
4,-0.0009260520752269525,0.003640071013809514,1116,-4.0385533406091,Composite (K=5 + Rev)
5,-0.0011621427190709518,0.0032173861607110096,1116,-5.733984922618029,Composite (K=5 + Rev)
6,-0.0012593278187113903,0.002919968391340302,1116,-6.846378688133133,Composite (K=5 + Rev)
7,-0.0011680783539194345,0.0026294453011436844,1116,-7.051931831320428,Composite (K=5 + Rev)
8,-0.001084088424489029,0.0027824442845449707,1116,-6.18498286488605,Composite (K=5 + Rev)
9,-0.001095999485749515,0.003833403807450355,1116,-4.538643287271974,Composite (K=5 + Rev)
10,-0.0010529384682780763,0.0032221149474135993,1116,-5.1875492557829,Composite (K=5 + Rev)
11,-0.0010599292646519241,0.0032623595382933334,1116,-5.157572380367858,Composite (K=5 + Rev)
12,-0.0010866342479032838,0.0033531497351972665,1116,-5.144352408471249,Composite (K=5 + Rev)
13,-0.0009303182149662116,0.0030914030990929126,1116,-4.777230062963355,Composite (K=5 + Rev)
