Lag,Interval,Zaman,γ̄,t-stat,N
7,1,10:00,0.012568114788398798,1.4450677184195977,1117
7,2,10:30,-0.011488132282920359,-1.3465626096731105,1117
7,3,11:00,-0.006936843988036075,-0.7715749445880034,1117
7,4,11:30,0.006001726877840163,0.690628188856639,1117
7,5,12:00,0.020163965294871022,2.222372853513778,1117
7,6,12:30,-0.0035165384850773967,-0.3991733816091929,1117
7,7,13:00,-0.00480657643575325,-0.5992042943615161,1117
7,8,13:30,-0.0005231773689444681,-0.06640261443815915,1117
7,9,14:00,-0.0023225139308897347,-0.2191400114764036,1117
7,10,14:30,0.011201121661461519,1.2986110252377334,1117
7,11,15:00,-0.008918961073525395,-1.0332663424857162,1117
7,12,15:30,-0.004179263886535161,-0.5003989497000402,1117
7,13,16:00,-0.0018741284624139351,-0.21826054735369124,1117
7,14,16:30,0.005903237412381737,0.7373855403189511,1117
7,15,17:00,0.014091334293585375,1.6862236063676792,1117
7,16,17:30,0.013549429835440966,1.6176365831717532,1117
8,1,10:00,0.004937681281224282,0.6462088756840512,1116
8,2,10:30,0.003965932522805626,0.4522826644882585,1116
8,3,11:00,0.01829404730387893,2.1795690119543814,1116
8,4,11:30,0.0015021399094568484,0.19005662014590724,1116
8,5,12:00,0.0010547896982335307,0.12429363401097353,1116
8,6,12:30,-0.0006499921034288623,-0.06860188986367173,1116
8,7,13:00,0.005004247072266627,0.6089113096934271,1116
8,8,13:30,-0.009578341435251181,-1.28927648497345,1116
8,9,14:00,0.007225646353795713,0.7877002384857279,1116
8,10,14:30,0.013554398446589054,1.5119511070808755,1116
8,11,15:00,0.003498941594889676,0.38255483961586934,1116
8,12,15:30,-0.01037078578626246,-1.1363451121074988,1116
8,13,16:00,0.019944129387840834,2.0300938393288073,1116
8,14,16:30,0.007845267351659541,0.9881290174170066,1116
8,15,17:00,0.01608678524789243,2.0131513364124083,1116
8,16,17:30,0.011366972804798524,1.2990507771427922,1116
9,1,10:00,0.010128498764238752,1.2144723641568627,1115
9,2,10:30,-0.008218890388621482,-0.9816397451593787,1115
9,3,11:00,0.011367467811099721,1.2160132054025643,1115
9,4,11:30,-0.005910428744770944,-0.7525838128843206,1115
9,5,12:00,-0.021029000606964325,-2.478903484939648,1115
9,6,12:30,0.010957540664033202,1.4214643382874321,1115
9,7,13:00,0.004193900932428917,0.5247698418757865,1115
9,8,13:30,-0.000425199357558835,-0.04711643108236827,1115
9,9,14:00,0.018453270729468237,1.8495359522080923,1115
9,10,14:30,-0.002088550261928409,-0.24384847540708474,1115
9,11,15:00,0.007330345946902541,0.822860595093087,1115
9,12,15:30,-0.003194565625165531,-0.352685172970251,1115
9,13,16:00,0.014663771759597181,1.8004078745078618,1115
9,14,16:30,0.0014685644837098939,0.17810612769655798,1115
9,15,17:00,0.008940973142427502,1.0289143948533466,1115
9,16,17:30,0.010209073362199974,1.1853296190141853,1115
10,1,10:00,0.01773920455075081,2.327848412117216,1114
10,2,10:30,0.005744780390387355,0.6365394379126569,1114
10,3,11:00,0.007679824866002797,1.009734367504899,1114
10,4,11:30,0.0011044153176169827,0.13551439218281955,1114
10,5,12:00,-0.008537154094724915,-1.043347996395283,1114
10,6,12:30,0.0138384761312639,1.6091548155391397,1114
10,7,13:00,0.005867179101847195,0.641510666500116,1114
10,8,13:30,5.5000005737611404e-05,0.00699477261540907,1114
10,9,14:00,0.010984252998438216,1.0465842048806029,1114
10,10,14:30,-0.0011768126007968595,-0.13728280261369843,1114
10,11,15:00,-0.002921118322621299,-0.32179464486242415,1114
10,12,15:30,-0.0012080383592247771,-0.1380686055547638,1114
10,13,16:00,0.01366821172696996,1.4821426140730722,1114
10,14,16:30,0.006618698193912028,0.744266200448058,1114
10,15,17:00,0.005855063514283992,0.7115574880322569,1114
10,16,17:30,0.017551422854624663,2.0906679838718545,1114
11,1,10:00,-0.003317916937482918,-0.44371180390911036,1113
11,2,10:30,0.016982006882782473,1.9283480666261803,1113
11,3,11:00,-0.004869660766692537,-0.5829668771213501,1113
11,4,11:30,-0.00610464987933954,-0.7721464312559588,1113
11,5,12:00,0.0026224194138390446,0.2810112099850731,1113
11,6,12:30,0.0031593674253383875,0.380231787354486,1113
11,7,13:00,-0.0010491860495350951,-0.12232727345499508,1113
11,8,13:30,0.0016310948455262385,0.19141950974712646,1113
11,9,14:00,-0.0015569860581013252,-0.17457091733053648,1113
11,10,14:30,-0.001975636918611593,-0.22820496601748333,1113
11,11,15:00,-0.003720817741786281,-0.4397990142692024,1113
11,12,15:30,-0.0059200175165089065,-0.70482131199712,1113
11,13,16:00,0.015254693253838537,1.748185386712532,1113
11,14,16:30,0.004615494919674339,0.5527237830814686,1113
11,15,17:00,0.008106770861174596,0.8826342987637102,1113
11,16,17:30,0.025405093954571654,2.7793278725839365,1113
12,1,10:00,0.0067954679993168,0.7896662130612974,1112
12,2,10:30,-0.005268911454039197,-0.6018972243437045,1112
12,3,11:00,0.0021384517666552796,0.253727887154838,1112
12,4,11:30,0.00236959243634527,0.28856194902182253,1112
12,5,12:00,-0.009882652844126549,-1.185047346690374,1112
12,6,12:30,-0.004112882676052628,-0.49316396672261986,1112
12,7,13:00,0.0023427594593078975,0.2461726613923126,1112
12,8,13:30,0.012564246854067967,1.686729794431623,1112
12,9,14:00,-0.0036585634191976624,-0.410190909739785,1112
12,10,14:30,-0.0056148039505774594,-0.6623891333260024,1112
12,11,15:00,-0.018404702035000175,-2.2069802947400863,1112
12,12,15:30,0.0003820178402386699,0.024236730867579062,1112
12,13,16:00,0.007950318733727126,0.9436388494772109,1112
12,14,16:30,0.004914192324114038,0.5799846748509214,1112
12,15,17:00,-0.0028346943773081305,-0.3298259709418182,1112
12,16,17:30,0.019684422184816655,2.361365424913751,1112
13,1,10:00,0.012564116963084392,1.3961434328316003,1111
13,2,10:30,0.008476652863787994,1.102939250704981,1111
13,3,11:00,-0.00958370507441031,-1.2118755159057655,1111
13,4,11:30,-0.0006600995185644991,-0.08893982002541198,1111
13,5,12:00,-0.00768912666080925,-0.9198308428734998,1111
13,6,12:30,6.80950720307516e-05,0.008256142348187936,1111
13,7,13:00,-0.011166951919833506,-1.358333296764791,1111
13,8,13:30,-0.0038596223612849838,-0.47760568791321667,1111
13,9,14:00,-0.0018106008067082949,-0.19665171675718232,1111
13,10,14:30,-0.00024018813551198554,-0.02854460967923,1111
13,11,15:00,0.004930940094553115,0.6611009456669855,1111
13,12,15:30,0.014187369391422771,1.7143087572567421,1111
13,13,16:00,0.0017028156618636963,0.2008014353049052,1111
13,14,16:30,0.005493852771157717,0.7061417612174491,1111
13,15,17:00,-0.003000316936624793,-0.32645941033573167,1111
13,16,17:30,0.0149189844135637,1.9184400202040914,1111
14,1,10:00,0.015631077206289208,1.643899240862768,1110
14,2,10:30,0.005587163624449576,0.6570654469707297,1110
14,3,11:00,0.0011084282249975953,0.13135770306915684,1110
14,4,11:30,0.003563857508534971,0.4088609244249717,1110
14,5,12:00,0.01015076692840957,1.2791793904980624,1110
14,6,12:30,0.0038556320670774134,0.4668399250122292,1110
14,7,13:00,0.00047619722618591937,0.05522768808135747,1110
14,8,13:30,0.0009889847281168607,0.12638235982441517,1110
14,9,14:00,-0.004797222371254107,-0.4235773616445311,1110
14,10,14:30,0.01934323641615641,2.193484854138458,1110
14,11,15:00,0.012898314802707611,1.4943538804684293,1110
14,12,15:30,0.0010509571071964105,0.13634304615529058,1110
14,13,16:00,0.009963251442432286,1.2612971456608641,1110
14,14,16:30,0.014886570422880807,1.897011811619087,1110
14,15,17:00,0.007238657031383532,0.8694219139534126,1110
14,16,17:30,0.017706873396439844,2.1355242880352265,1110
15,1,10:00,-0.0006795779373064766,-0.07360513208119963,1109
15,2,10:30,0.004343984490639321,0.4862765703888115,1109
15,3,11:00,-0.006015419449322166,-0.719472631077348,1109
15,4,11:30,0.00045836340277283927,0.05533316805714652,1109
15,5,12:00,-0.0002104672356959439,-0.024809970726826953,1109
15,6,12:30,0.010706872176997978,1.0947864919387695,1109
15,7,13:00,0.00174860778290938,0.19883028333658587,1109
15,8,13:30,-0.0013803180563294265,-0.15786623151688134,1109
15,9,14:00,-0.0026178748578994998,-0.2733330983321716,1109
15,10,14:30,0.0012546672927321245,0.14828251332184358,1109
15,11,15:00,0.006055602496658889,0.7671224297052351,1109
15,12,15:30,0.002676366025300931,0.2886922992592093,1109
15,13,16:00,0.00756784557661708,0.9448057840369859,1109
15,14,16:30,0.0007429247494889487,0.08115783922306326,1109
15,15,17:00,0.002010145704970247,0.24127315398334478,1109
15,16,17:30,0.017537351000334364,1.8391628715139308,1109
16,1,10:00,0.014510888193864776,1.5031831805436593,1108
16,2,10:30,0.0037775038814620177,0.45268257112480226,1108
16,3,11:00,-0.007955233598046927,-0.8662448909216272,1108
16,4,11:30,0.005220851633517288,0.6225691891837848,1108
16,5,12:00,0.022770736051201498,2.791328294318296,1108
16,6,12:30,0.0008461137275268954,0.08861441435832379,1108
16,7,13:00,0.019041721910496807,2.2720655714897044,1108
16,8,13:30,0.00037520265516666646,0.044722884344878325,1108
16,9,14:00,0.002157647899497804,0.23847624637753778,1108
16,10,14:30,-0.012048360271073984,-1.3628298980470086,1108
16,11,15:00,-0.006767892049352655,-0.7046682294670323,1108
16,12,15:30,0.007549337161842203,0.8918510715001451,1108
16,13,16:00,-0.024885029944645556,-2.7840001386003093,1108
16,14,16:30,0.020610354046966983,2.2752724043032817,1108
16,15,17:00,0.007571193892393612,0.9686689036657116,1108
16,16,17:30,-0.005277542033611545,-0.6180878529328336,1108
17,1,10:00,0.008236831649684001,0.9330600207773492,1107
17,2,10:30,-0.0013202583963420526,-0.1662260658369968,1107
17,3,11:00,-0.006171265890359999,-0.7527836029395546,1107
17,4,11:30,-0.0014807972606672671,-0.17170380370321747,1107
17,5,12:00,0.001263148702892008,0.13109921927333373,1107
17,6,12:30,-0.010196931807137172,-1.1031628703507559,1107
17,7,13:00,-0.005633953734465285,-0.5875334626026861,1107
17,8,13:30,-0.003696541459593604,-0.4476384136111951,1107
17,9,14:00,0.004136028073734626,0.439318826112421,1107
17,10,14:30,-0.014921602439877576,-1.6330995342765995,1107
17,11,15:00,0.0010724856307791374,0.13815821272755857,1107
17,12,15:30,-0.00565237777016613,-0.6464385690769202,1107
17,13,16:00,-0.001993068196405185,-0.24369169832793164,1107
17,14,16:30,0.008259325343433762,0.97018369149178,1107
17,15,17:00,-0.0031730297104502116,-0.3956216907218287,1107
17,16,17:30,0.019062834661078075,2.169678126757497,1107
18,1,10:00,-0.00037285176043743156,-0.04015797519329291,1106
18,2,10:30,0.004066400083506379,0.4883978895906749,1106
18,3,11:00,-0.005129330125953644,-0.6057269355902362,1106
18,4,11:30,0.0027813437722127867,0.33805551775580067,1106
18,5,12:00,-0.007412807294912465,-0.8036665413317284,1106
18,6,12:30,0.003160004841546031,0.36277408627054253,1106
18,7,13:00,-0.001955065188543399,-0.2403328238583516,1106
18,8,13:30,0.003996267386060273,0.4935383870194681,1106
18,9,14:00,-0.0062457666007035735,-0.7269932199397741,1106
18,10,14:30,0.022663296945503956,2.7050525526886045,1106
18,11,15:00,-0.016174922656441982,-1.8700807639035237,1106
18,12,15:30,0.007082983686816233,0.7973798662473418,1106
18,13,16:00,0.010363124608522865,1.1541390958693003,1106
18,14,16:30,0.01899574819589594,1.7072373948862847,1106
18,15,17:00,0.011327587550076167,1.41068278978352,1106
18,16,17:30,0.02027372754750422,2.3948857977889015,1106
19,1,10:00,0.015356761367276673,1.7357419568862624,1105
19,2,10:30,-0.0023918377341729715,-0.2761585745624308,1105
19,3,11:00,-0.008284500026996081,-0.9302354117714231,1105
19,4,11:30,0.004405331051356257,0.5174073529962399,1105
19,5,12:00,0.006456162877367617,0.7847117305083526,1105
19,6,12:30,-0.0011458601133447143,-0.13314174089689587,1105
19,7,13:00,-0.0014757939117121116,-0.16528374352292144,1105
19,8,13:30,0.010408476851831041,1.2835394496157082,1105
19,9,14:00,0.00045391382679981325,0.05005075238689726,1105
19,10,14:30,0.0018219524489793543,0.2016964112129736,1105
19,11,15:00,-0.00974547952556755,-1.2042396170989293,1105
19,12,15:30,0.003791333467729995,0.45496583276230285,1105
19,13,16:00,0.008636680881622042,0.9518042118852784,1105
19,14,16:30,0.008463328548993114,0.9618342140614852,1105
19,15,17:00,0.011188577676534682,1.4580605846888692,1105
19,16,17:30,0.0071760362780230146,0.8296143854922101,1105
20,1,10:00,0.00392144266926658,0.417018841968254,1104
20,2,10:30,0.010228208125217287,1.2043165954195876,1104
20,3,11:00,-0.0014741066791111492,-0.16353765596375747,1104
20,4,11:30,-0.0035010694412652425,-0.45402158113811136,1104
20,5,12:00,-0.008596695842323391,-0.9306095386548559,1104
20,6,12:30,0.007307661623593533,0.9269360343893883,1104
20,7,13:00,-0.00702919939157011,-0.8374514314175605,1104
20,8,13:30,-0.0017180682466877292,-0.21019586045521374,1104
20,9,14:00,0.0012089386219803586,0.11623780240761372,1104
20,10,14:30,-0.0012711818245882511,-0.15732766001224122,1104
20,11,15:00,-0.008315257524114338,-1.001431589169406,1104
20,12,15:30,0.001155011144799939,0.11356507561873491,1104
20,13,16:00,0.00950991828223868,1.1663248941283801,1104
20,14,16:30,0.008587325994220168,1.0647693811094712,1104
20,15,17:00,0.01225693409910487,1.5537892052471936,1104
20,16,17:30,0.006542162710809651,0.7637204916531816,1104
21,1,10:00,0.0034389877942967773,0.40547349548266765,1103
21,2,10:30,-0.006697933905858763,-0.7851811172782913,1103
21,3,11:00,-0.007194019524180291,-0.7263377635153231,1103
21,4,11:30,0.006573627730578433,0.8808861167477298,1103
21,5,12:00,0.006840809726649114,0.7951522813048689,1103
21,6,12:30,-0.016605322148396554,-1.859718241366441,1103
21,7,13:00,0.007385525086910381,0.7813100422058445,1103
21,8,13:30,0.007703388406958313,0.9527355217348585,1103
21,9,14:00,0.0020617818837651023,0.1918506828856062,1103
21,10,14:30,-0.0036403482746960158,-0.4397061597869849,1103
21,11,15:00,0.0003016623455815877,0.03502116405233674,1103
21,12,15:30,-0.0011634621876806886,-0.1434776172234633,1103
21,13,16:00,-0.01201077276439287,-1.4879241670346737,1103
21,14,16:30,0.0066767371249133785,0.8097199343252387,1103
21,15,17:00,-0.01801209681010084,-2.6378178363750573,1103
21,16,17:30,0.01314625021280079,1.6304223940559825,1103
22,1,10:00,0.014284232374875134,1.6270685244223102,1102
22,2,10:30,0.003891393640497381,0.41973471965557757,1102
22,3,11:00,0.006576940651794669,0.6870851081283849,1102
22,4,11:30,0.000764230932662237,0.09524093450490861,1102
22,5,12:00,0.00728472386919306,0.8501410174153465,1102
22,6,12:30,0.01395160032869501,1.560311009491157,1102
22,7,13:00,-0.019886961105083034,-2.410601108883829,1102
22,8,13:30,-0.010550745879202857,-1.3614284023137688,1102
22,9,14:00,0.0016320660786909476,0.16810732869981407,1102
22,10,14:30,0.007897283504366413,0.9792095563745199,1102
22,11,15:00,-0.00014070388892622204,-0.016239511702003,1102
22,12,15:30,-0.002843337472049525,-0.3031107527524659,1102
22,13,16:00,-0.005007161590488593,-0.6145183837001786,1102
22,14,16:30,0.012917476734179714,1.4609276734129224,1102
22,15,17:00,0.027536278980204883,3.3930091122542954,1102
22,16,17:30,0.0195877756969996,2.2158648549477196,1102
23,1,10:00,0.00729977682879154,0.8202276471161627,1101
23,2,10:30,0.006642986622700329,0.7910237233692526,1101
23,3,11:00,0.0009077002996963539,0.10595566533265885,1101
23,4,11:30,0.00216981035736835,0.267263016289227,1101
23,5,12:00,0.00891817866359159,0.8803970205489852,1101
23,6,12:30,-0.0006908825836877014,-0.07967848264879016,1101
23,7,13:00,-0.007596934066536278,-0.8353195638291627,1101
23,8,13:30,0.002260500677972925,0.3019453363494437,1101
23,9,14:00,0.009549518272031678,1.0276390566804168,1101
23,10,14:30,0.0013372459060145292,0.15570055768479416,1101
23,11,15:00,0.000738181811444711,0.09073053371720213,1101
23,12,15:30,0.010608250425928702,1.2307295926804935,1101
23,13,16:00,0.014236530085969585,1.677237320901041,1101
23,14,16:30,0.012817959415312021,1.7065076955400764,1101
23,15,17:00,0.01798484950979505,2.181099130577655,1101
23,16,17:30,0.013462816219447503,1.2234361339497446,1101
24,1,10:00,0.007092045842325093,0.7355443001411924,1100
24,2,10:30,0.00562692916102247,0.6656429934004028,1100
24,3,11:00,-0.0035623389258371985,-0.420658812505301,1100
24,4,11:30,0.0008916164248878918,0.11497187182168785,1100
24,5,12:00,0.0007219191256642622,0.08247742918252438,1100
24,6,12:30,0.002423780614632563,0.30334765237449535,1100
24,7,13:00,0.0009795811329569085,0.12037267002314696,1100
24,8,13:30,0.0028862115700161286,0.3253725587067512,1100
24,9,14:00,-0.006975059066618474,-0.6874772316439535,1100
24,10,14:30,0.012663329325404014,1.3695005137874392,1100
24,11,15:00,0.0036093438908355413,0.38180284518006313,1100
24,12,15:30,0.0009548184219822038,0.11255737172882684,1100
24,13,16:00,-0.00476852874443887,-0.5762107530236266,1100
24,14,16:30,-0.010627777799079951,-1.2693772890988961,1100
24,15,17:00,0.004730679559811579,0.5712565185515515,1100
24,16,17:30,0.0036520662317727133,0.48625187387215546,1100
25,1,10:00,-0.0002776077881299229,-0.03093685252849311,1099
25,2,10:30,-0.006335806948944611,-0.7467060954636155,1099
25,3,11:00,-0.005140266163015137,-0.5443787361083605,1099
25,4,11:30,0.0007038033241295493,0.08745083255823655,1099
25,5,12:00,0.0019017149517201407,0.19877218958868392,1099
25,6,12:30,-0.011471203706676644,-1.37199343610025,1099
25,7,13:00,0.01214722168270145,1.4105667415970509,1099
25,8,13:30,-0.002158878210260402,-0.2538427925796001,1099
25,9,14:00,-0.01464934171136463,-1.5952565237403937,1099
25,10,14:30,0.021570457360892022,2.3654783595286957,1099
25,11,15:00,0.0010916486260325675,0.12570769415854902,1099
25,12,15:30,0.003723845937811358,0.42013614890765055,1099
25,13,16:00,-0.002083998066839641,-0.24308233777625332,1099
25,14,16:30,0.011548007622482917,1.3031980811964357,1099
25,15,17:00,0.0029263454956999987,0.38244648916206175,1099
25,16,17:30,0.012803810065185921,1.5102400446364792,1099
26,1,10:00,0.003869706835542607,0.4446193461608398,1098
26,2,10:30,0.012411347342306171,1.5050519206049626,1098
26,3,11:00,0.002117249919926099,0.22801381560380524,1098
26,4,11:30,-0.0011589287132465452,-0.12541978774247373,1098
26,5,12:00,-0.006361447758154753,-0.7509877132476499,1098
26,6,12:30,0.003204855774201328,0.36037123300625923,1098
26,7,13:00,-0.003066037254634249,-0.34595723025307606,1098
