Interval_Lag_k,γ̄_OC,t_stat_OC,N,γ̄_CC,t_stat_CC
27,0.0008131760349186758,0.30592149510390554,18087,0.0016002456399714811,0.5444678634137663
28,-0.0019210831259752503,-0.7538839735766668,18086,-0.001116256235657801,-0.3908276883485637
29,0.0015376502289122925,0.6288198932798834,18085,0.0025975992953413914,1.0140148165814746
30,-0.000902177547213602,-0.3841227233824858,18084,0.0014307672801249468,0.5753255505777929
31,0.000517103825835532,0.22297305404054152,18083,0.0018081531334233432,0.6942758106505422
32,0.004731115565520426,2.113082224865765,18082,0.007197852927095561,2.944658036351877
33,0.0010809916209671235,0.4502698915462916,18081,-0.00020982499341685784,-0.08666802850788789
34,-0.003137254921067645,-1.2925613202641806,18080,-0.0019418273248276983,-0.7161406837801934
35,-0.004893824384537726,-1.9110295681596858,18079,-0.0070366631858530485,-2.4638976071336938
36,5.655716995521326e-05,0.022935989758601665,18078,0.0003693560449246013,0.12821062869310249
37,0.0011725358803699095,0.46032760081828594,18077,0.00160106676127661,0.5427677375090644
38,0.0004106973573632235,0.1599772402942834,18076,-0.0010629484692759195,-0.37467249720497003
39,0.0045200050978180355,1.7559918348584904,18075,0.0033785661567003584,1.183759864951621
40,-2.923148948798243e-05,-0.011094299778417293,18074,-0.0027621632986587724,-0.8030611406683696
41,-0.0016412999459463778,-0.6141969435216105,18073,-0.0006529288298794546,-0.2213050793014195
42,0.001618333282789197,0.5783606590216929,18072,0.002858139254576014,0.9503345297347977
43,-0.001969803962704343,-0.7440374863870141,18071,-0.005613564397381849,-1.1016161520906305
44,0.003460987319033292,1.3289417698178545,18070,0.0050079858297016845,1.6198843781457055
45,-0.0036576590439923815,-1.542329236485008,18069,-0.005829457148214504,-2.2820921244453563
46,0.003393695167472755,1.3871913905641302,18068,0.00334312469149491,1.3090708831180367
47,0.001752770705994676,0.753253936201143,18067,-0.00014870477873387157,-0.04742182857840135
48,0.004753908158022799,2.0203679182843066,18066,0.004269818322444434,1.932836571457297
49,0.001037844724031543,0.38423406736057386,18065,-0.00044948416699466104,-0.16868607004410355
50,-0.006342099296643386,-2.5058089050274175,18064,-0.013635510597638779,-2.1753873991531605
51,0.0002646081734965787,0.09917723371271343,18063,0.001571387501570051,0.43203509622981007
52,-0.005356981213879479,-2.119354610846533,18062,-0.005425453400294243,-1.9602772112606448
53,-0.0010369972794341692,-0.36419870948316146,18061,-0.003696150919196057,-1.1653115969752144
54,0.005288108085779759,1.9473557371483061,18060,0.003320851952337745,1.1669537121293168
55,0.0020238749881057814,0.7799193986253572,18059,-5.662497733581676e-05,-0.018064871143869295
56,-0.0014076533311134587,-0.5584802424721557,18058,-0.0015420294865603772,-0.5470611913618026
57,-0.00395325004315531,-1.5249222641274303,18057,-0.002650812026398554,-0.9441950331974315
58,0.004921840094051075,1.8971306852946515,18056,0.003727905411710894,1.3078042503074847
59,-0.0011724402558173153,-0.4533390501964815,18055,-0.001316681203600406,-0.4724533288500433
60,-0.0012902434000315645,-0.5104745107552224,18054,-0.003214692989567654,-1.1737076939366664
61,0.003106914644581407,1.2955497273647631,18053,0.004452395937868728,1.6882841424302597
62,0.001237289926552962,0.514189823265025,18052,0.0009814102919411302,0.39880592348427996
63,0.0029401379389824506,1.2478168823490678,18051,0.002586497875748688,1.1083797869401781
64,0.007411712967079618,3.233695333638059,18050,0.00708604328837329,2.993675994509431
65,-0.005977848762452534,-2.529706307585941,18049,-0.006805081036932582,-2.7445238630098796
66,-0.0018471822843825266,-0.7516114263473953,18048,-0.005277079696551373,-1.220503387489457
67,0.0010461305494699879,0.44960220169214743,18047,-0.0018926110860619646,-0.6679565441757608
68,0.00297744261837017,1.2057972272654156,18046,0.0038123294392731883,1.4569582970915353
69,-0.0006910781604742952,-0.2769316991656588,18045,-0.00018818867611703296,-0.06549093324399893
70,0.0002233955006262532,0.08769007806727427,18044,-0.0004508906740009265,-0.16255251801683654
71,0.0014234695907280961,0.5659012926464481,18043,0.0036739967632157112,1.230869319379159
72,-0.004707503158742883,-1.7492545070528533,18042,-0.005178437273316329,-1.7921028370017553
73,-0.0034226964333882617,-1.233133815195163,18041,-0.0035378997991472143,-1.2247972471236064
74,-0.0017247764797275124,-0.6371161427566585,18040,0.0027340349114554283,0.5067411038008495
75,-0.0017504468379280368,-0.6541521469934635,18039,-0.0002142388570986719,-0.07263076831755838
76,-0.00425236373252772,-1.7145231424037635,18038,-0.003060732439574189,-1.1579757485657616
77,0.0021449010017379594,0.7422773773077975,18037,0.0020667453148099342,0.7143230319211794
78,0.005002576977660105,2.173761410345692,18036,0.00367811538806052,1.4207833624863313
79,0.002793233721916613,1.031830919152521,18035,-0.0013014507936610412,-0.324921055802572
80,0.004657775839478893,1.9759924465387277,18034,0.0003488641335806719,0.10354639065658294
81,0.0015512113750652094,0.6205017377235713,18033,0.0007273230159609847,0.2986074766029977
82,-0.0013056064419563458,-0.5669974224320734,18032,-0.002047517288776759,-0.8095655777112751
83,-0.005014769876571434,-1.875758443663668,18031,-0.0036421141041370723,-1.3641058215278574
84,0.0007603447069877687,0.30246439479676007,18030,-0.002177989449592208,-0.8031120557024308
85,-0.0021951171684276424,-0.8608217821512052,18029,-0.001499314715037896,-0.5461243525492919
86,0.006368271496860948,2.415417084462957,18028,0.005612283564181732,1.898509682122189
87,0.0002907462733532619,0.11558625959745092,18027,0.00011776359206155696,0.042935701935575346
88,0.0006763056394274771,0.2478560953904985,18026,-0.0013388050553203466,-0.4662439663437005
89,-0.001800020276765058,-0.6935781129503487,18025,-0.0029905006185536077,-1.0474503918269427
90,0.0004165898395256495,0.15338083222736537,18024,0.000302612709711642,0.10275792006090086
91,-5.206066546058897e-06,-0.0020274786403459938,18023,0.001511097818055427,0.542782006545473
92,-0.001823535211696409,-0.7571088497906474,18022,-0.002941908639250744,-1.1099735592248787
93,-0.0026208811930718977,-1.1024605666867928,18021,-0.0037607313690064892,-1.4701044225615205
94,-0.0021770286266351337,-0.9341240169650582,18020,-0.0009249947514346516,-0.364037299475524
95,-0.0006075636248641188,-0.27264910556532534,18019,0.0011539925691995442,0.4690108819458381
96,0.006934016173482733,3.183012545619803,18018,0.006875136001935112,3.04972773225766
97,0.002872565054790615,1.2602714931782113,18017,0.003275760706876555,1.384653319398893
98,-0.0011059833932886716,-0.46433452512504575,18016,0.0020308038982086584,0.3808455318838499
99,-0.0009222945675964673,-0.36863407627680256,18015,-0.0032060049000320473,-1.2137396334318777
100,0.0008591150147409232,0.3438078949027217,18014,0.00023602477586441036,0.08395773534319192
101,0.005805178469762676,2.219772682213886,18013,0.004254280788932834,1.529930561899422
102,-0.003327969382543597,-1.308110007068683,18012,-0.0057359795597352456,-1.9800994816676951
103,0.0027622839126939924,1.1119666935298593,18011,0.003125893148136188,1.110461761289778
104,-0.0028982837366022343,-1.150302282606884,18010,-0.0003575191076652464,-0.1318608596845177
105,-0.0027703678679524522,-1.0680575619605504,18009,-0.003693533470253478,-1.2902187805678784
106,0.0012980359804802214,0.5203814816014966,18008,0.0019113355252590451,0.690205860152318
107,-0.0005825707299708714,-0.23019586759566074,18007,0.00024395319981901684,0.08617232673069637
108,-0.001024313131155483,-0.41068900655074675,18006,-0.001187897091085057,-0.4309712459965851
109,0.00040580305304291527,0.16949238941723935,18005,-0.0003885646923087883,-0.15034786138825817
110,-0.0008118384043824918,-0.3476414210955167,18004,0.000745667751767673,0.2982614084923692
111,0.00444181105793355,1.934411302312679,18003,0.005873318265538558,2.4421425854967582
112,0.0013673019811148595,0.6181066707895568,18002,0.0024343797564675617,1.0859311750506915
113,0.0013935722913883933,0.6245232565293667,18001,-0.0012790448727859702,-0.48061894785256665
114,-0.0004204020888293488,-0.17761663492010554,18000,0.0002372251522572288,0.08362744879528514
115,0.0031246876774025487,1.2660288253983611,17999,0.0018310761681918496,0.6806430643067263
116,-0.0019363787427640795,-0.798285861107487,17998,-0.001711496742647176,-0.5880307797126616
117,-0.0014942053799315885,-0.5723047732079768,17997,-0.0028759817631862934,-1.010022937644794
118,-0.0018426851078341658,-0.7171449827473988,17996,-0.004969220438255132,-1.0947758820368902
119,-0.004028296220780192,-1.5220800839076258,17995,-0.005125592833616551,-1.4915822623507546
120,-0.0011969972907786613,-0.4577035681017825,17994,6.094373292733968e-05,0.02057243758856252
121,0.001737059639171527,0.6295347271091588,17993,0.004335372900863567,1.482555478108019
122,0.003073599944387134,1.2204182151640899,17992,0.0017953929106190192,0.6384982430645416
123,-0.0037855873734298847,-1.4344019119907359,17991,-0.008806242187650401,-2.0561354206378946
124,-0.0014856883687753562,-0.5699654959687103,17990,-0.0019448567012351865,-0.7046648071516933
125,0.003501974140099995,1.3857621334410868,17989,0.001936569197833865,0.7481640676300052
126,-0.0003667927037701186,-0.15536603345269667,17988,-0.0021064871026802274,-0.7063029204334272
127,0.004876397736959381,2.1175325172350234,17987,0.0025975376258241738,1.0935986601841625
128,0.004336451810462144,1.9346632096837464,17986,0.005697818775978101,2.538485095453058
129,-0.002219186411799793,-0.9446452592979964,17985,-0.0025997235261047253,-1.071281873746531
130,0.00047017014255376166,0.18903623738720182,17984,-0.0026905953149362572,-0.9424508544114123
131,-0.0012748890807323767,-0.5064132863945352,17983,0.0001117427770173804,0.02450103686871239
132,0.0002325130965180452,0.09004385137767282,17982,-0.003267970751246714,-0.9520967357940017
133,0.003407256160362557,1.3742088544124436,17981,0.003177486287745957,1.1315458315314633
134,0.0003039096073302331,0.11407114012236348,17980,-2.950458750791755e-05,-0.010610636656815971
135,0.00021089907621553935,0.08163926157063638,17979,0.0012222033927466098,0.42636909681680424
136,-0.00260624901374154,-1.02358122787357,17978,-0.002965059209857886,-1.0505777201789024
137,-0.00011585318164338903,-0.04298284217051668,17977,-0.0009827704276924659,-0.34320622433610143
138,-0.002549258769449116,-0.9838434527517205,17976,-0.0016746947755805427,-0.5702154472961339
139,-0.003362150088148296,-1.2706535404194568,17975,-0.006769859661209204,-1.446027278146153
140,-0.00186422439976413,-0.7485907543321039,17974,-6.203561164188717e-05,-0.020189815760660583
141,-0.0032445421782347932,-1.4122659743129446,17973,-0.0026003792298679145,-1.0376159951371116
142,-0.001956220548217188,-0.7988925383957864,17972,-0.000838733821073703,-0.3144127933670583
143,-0.0002140858065390813,-0.09239783163625917,17971,-0.002194948612006985,-0.8763406243990678
144,0.0013075699108134784,0.5982440641519053,17970,0.0006042445908649856,0.2694052556146377
145,-0.001024994489725264,-0.4592868102688411,17969,0.0005887554434513614,0.19350689591778947
146,0.0011536536596913028,0.49585539217115976,17968,-0.0001540888292792325,-0.05781445946024307
147,-0.0015064101779553828,-0.6104812812001216,17967,-0.00311390434412431,-1.1583995383719636
148,0.0007836648713579641,0.3053876287772326,17966,0.00031322569073956845,0.11286133225909782
149,-0.0007542822730325571,-0.2975272630851386,17965,0.0010135341772393469,0.3619140784978413
150,-0.002636241901866472,-1.0685351997203463,17964,-0.0026261640509371168,-0.9333444529861528
151,0.0020367751499963645,0.8148019829167045,17963,0.002158380486964019,0.7937615734247615
152,0.0019603049629915324,0.7485172315049934,17962,0.0019411351823604003,0.6843520476595896
153,0.0014171890064913744,0.5551498954868452,17961,0.001727026961384627,0.5993195746237024
154,-0.0028939180424746263,-1.1235604729129842,17960,-0.004315263845429903,-1.5531574786408593
155,-0.003599552689923934,-1.44474740090354,17959,-0.0011068367595167847,-0.39536412570840396
156,0.0003902582234780946,0.1543343954194154,17958,0.004015349216710913,1.4643427891664575
157,-0.002796352144534963,-1.1479868044871895,17957,-0.0019931905550741673,-0.7712844883045059
158,0.0017332428394966598,0.7342097983757835,17956,0.001424320960950059,0.5623974188860048
159,0.004027279872254976,1.7900130513831536,17955,0.003092677972885017,1.2747501420114755
160,0.007825107970379922,3.5167073253452217,17954,0.007779818648270233,3.1814857406666426
161,0.004218748892999255,1.875874322033599,17953,0.002568175698681489,1.025435798587815
162,-0.003866058262575406,-1.575734361026471,17952,-0.0020178591529228344,-0.7625852983922454
163,-0.002606047296619853,-1.0585234957288217,17951,-0.0010327792970160358,-0.3422578543955448
164,0.003140125943260465,1.2846480737026968,17950,0.0028961453404729377,1.0584139548769491
165,0.0010233843849760307,0.409401752767862,17949,0.0017648173259902763,0.5770705760459665
166,-0.0035086346660108815,-1.3832200203045473,17948,-0.004305569541438172,-1.5771779442842324
167,0.0036532990440001196,1.4367891030912823,17947,0.004140715956523774,1.5205467578667617
168,0.0015028888566144913,0.5943226513931451,17946,0.00010141450406224889,0.036778354223530485
169,-0.0033742850124914145,-1.305278150853666,17945,-0.004532412993480552,-1.5592534603366015
170,-0.0031275402818625713,-1.1683565253868156,17944,-0.0026513840606042795,-0.9096359843697016
171,0.0005623852122052685,0.2200220894878025,17943,0.0010845334676233681,0.35924951021556933
172,0.006274190765380891,2.511375581864497,17942,0.005819336537744673,2.1293131344373664
173,0.0023797811174914637,0.9849608702755834,17941,0.0038506550338788634,1.501957354716571
174,0.0026610214107544348,1.1294110349136435,17940,0.004643338225734351,1.7530491815524558
175,6.321249559106771e-05,0.027457617101894614,17939,0.0007152122252536635,0.29762963130693204
176,0.0020440339869308394,0.9385756964574146,17938,0.001154030359788345,0.5175907179355922
177,0.0006082664695560841,0.22567045537754146,17937,0.00015930153301131386,0.06200857568531622
178,0.001658269108694643,0.7010417484843404,17936,0.0035956857474122683,0.9538908394919274
179,0.0003931586124158949,0.16104186677763935,17935,-5.1665731315509155e-05,-0.0188936919572561
180,0.0018467641558014567,0.710553359336587,17934,-6.924713219459129e-05,-0.025260829204610234
181,0.0032329240763711146,1.210293560180176,17933,0.003058687291916014,1.0564044046117893
182,-0.002036781047609605,-0.7861076210827284,17932,-0.003896210983702407,-1.1968756968263516
183,0.002347744156866529,0.8965986778693392,17931,-0.0004302105020513694,-0.11614728756216593
184,0.002718989065512459,1.0514957974254246,17930,-0.00023843972960094822,-0.07103687884962706
185,0.001199503050613677,0.4393406786180598,17929,0.0010132441420919703,0.26627700663844966
186,0.004692635681923366,1.7618985503560747,17928,0.0028708174151091735,0.9186654475179251
187,0.001637644334180027,0.6252079360177233,17927,0.0023637833258520554,0.7470096958579714
188,0.00031722204732711654,0.1145561912073372,17926,0.0036235490450931378,0.6329266942664911
189,-0.0017027558366173436,-0.6440454205340873,17925,-0.004136539596532124,-0.8985107846196072
190,-0.0007067198869690468,-0.2969992422279993,17924,-0.0019708645579591504,-0.7195815264000522
191,0.0021797593827840326,0.7876416296171256,17923,0.0025289787813231154,0.8650726103600865
192,-2.685775783467474e-06,-0.0011867311644678565,17922,0.0030104876918611084,1.24057578757106
193,-0.004436354086841884,-1.8160697355572337,17921,-0.0049632573843279406,-2.0406252429513585
194,-0.0017448752854587678,-0.7101775743799694,17920,-0.001232608160111101,-0.4399996214886351
195,0.002373686512805602,0.9212365107902089,17919,-0.0008292257658421135,-0.2921746791485546
196,0.0021401937993900757,0.8690226818118617,17918,0.0006524296500224542,0.2327504209905997
197,-0.004392143208640662,-1.7494852237966718,17917,-0.005825011432743494,-2.181910420428002
198,0.0020630444138244435,0.8066326019753554,17916,0.0021444812570246656,0.7824467829702291
199,-0.0022744283983413397,-0.8826354677499005,17915,-0.002541758324454351,-0.9172880469014548
200,-0.0009916006325034685,-0.3994800949713206,17914,0.001456986120156753,0.5331372111370626
201,0.0011015254265735418,0.4261455865358438,17913,0.001352335879537209,0.4977135217416679
202,0.0009137378376989222,0.36794341517510065,17912,0.0033985111376355934,1.2166071446267113
203,-0.003149721053085605,-1.2247266283223153,17911,-0.004971160577321587,-1.7645336680629904
204,-0.00024194837470745316,-0.09916923609092505,17910,0.0011634715810410728,0.43683602359307755
205,0.004452598705222905,1.8594379125267428,17909,0.0043454012518496675,1.6940923861022081
206,0.0007076439148012499,0.3105944714901886,17908,6.324532827187623e-05,0.025040027979338728
207,0.004089033865061327,1.7899882576375301,17907,0.004533011660738668,1.8928485645181068
208,0.0017937709699633838,0.8408890695567802,17906,0.00405920174401015,1.8654423107004092
209,-0.0038426426334769,-1.393785784809301,17905,-0.0015238969470289963,-0.6281489387157436
210,-0.00230752944527501,-0.9827383615952817,17904,-0.00037877517073221664,-0.14109765714845668
211,0.0037602949453736123,1.5340444770116777,17903,0.002607719913253314,0.9918710278795502
212,-0.006393368695645118,-2.67941247498329,17902,-0.00774829069014638,-2.6561798324757686
213,-0.0018836316179305695,-0.7484755370999093,17901,-0.0016157037101582829,-0.5780633833309125
214,-0.0003072856000844165,-0.12300510628303707,17900,-0.0007127596741400797,-0.2544037916876253
215,0.002662517947114699,1.0794668414303792,17899,0.0023954235003781797,0.7270632850853884
216,0.001846625459466003,0.747017228901248,17898,0.0008195326647658781,0.30144810680187184
217,-0.00180927791507963,-0.7285393859041327,17897,-0.00015097296443589825,-0.05141345646533877
218,-0.0035077136712000152,-1.3455608907770862,17896,-0.0038060361538468715,-1.3691758840816843
219,-0.0006546269112483387,-0.24567337684898247,17895,-0.00033558769481584785,-0.1152903474373151
220,0.0007086102868839875,0.2924970031982459,17894,0.0021282928200371067,0.8104460360350435
221,0.001102923327989456,0.46095309612090934,17893,0.00021390679705564312,0.0830037320204727
222,0.002087203174025462,0.9061502608745725,17892,0.0009557819346870293,0.374865542597649
223,-0.0003386126684445406,-0.1514064089913024,17891,-0.0002893722776622341,-0.12307005101095032
224,0.00675431991142015,3.008716835522727,17890,0.00638849659723448,2.816095079914662
225,0.00033855747433738455,0.14227472628390675,17889,-1.5040910124992926e-06,-0.0006187168853334098
226,-0.0031875872849299815,-1.3683439377383264,17888,-0.005147800963719644,-2.0498442806456816
227,-0.0029596978747984002,-1.2375467287149484,17887,-0.0032229003242401884,-1.188227181512107
228,-0.003175248150627679,-1.217639452147281,17886,-0.005218856322346487,-1.9011972598915399
229,0.0017178826741679485,0.7031670434709368,17885,-0.0013896759976431727,-0.5234637114916096
230,-0.0011540846263450493,-0.4578789157846204,17884,-2.3610479970690094e-05,-0.00871149886933025
231,0.0006110716797455195,0.2507381293824844,17883,0.0010070967447916336,0.37071804181865253
232,0.0031408898503757204,1.2419546907768326,17882,0.0023822097362594156,0.8698223200347963
233,0.008492107859819919,3.343824755886965,17881,0.0077162972482467986,2.6992903749596135
234,-0.0014243479029484097,-0.5334669513972384,17880,-0.003520443251960286,-1.22664369030616
235,0.0017927693039650223,0.681829603823627,17879,0.00118743433900315,0.3821845731534863
236,0.0011378315356699489,0.44678095940153567,17878,0.0006149561395870168,0.22579173778196973
237,-0.0007834632105942387,-0.3252493052034032,17877,-0.002264180872485238,-0.8792254407943951
238,0.0009639548845324726,0.4158006377384601,17876,0.0024113453392312755,0.9761028295591452
239,0.002527069279747177,1.0805441550274892,17875,0.005119192218418743,2.0380351425861676
240,0.0013719260489600238,0.6119483591468945,17874,0.0006244288669932749,0.2642050051151959
241,0.001561171398824905,0.6889310447796434,17873,0.002494239067969489,0.9577609422121003
242,0.00044094322365646207,0.18219165054535347,17872,-0.0029239808090673015,-1.122774490367617
243,0.0017417022912833218,0.7274843528278991,17871,-0.0011649038800609288,-0.41855716913172986
244,-0.0011089150813012002,-0.4617078717588606,17870,-0.0013174683334463506,-0.4993247926226423
245,0.00011036373594502125,0.045459166233254966,17869,-0.0012558475648919607,-0.4525881737497688
246,-0.000860117549533336,-0.3398731339661561,17868,-0.003580605913335028,-1.3480243113922972
247,0.000908583070991909,0.3523435058656131,17867,0.0011820945080779502,0.41423024752211374
248,-0.0003021371676458028,-0.11762008317013141,17866,0.001215599609784577,0.44485784042995097
249,-0.0004758173315526423,-0.18072262504113334,17865,-6.6649587843211e-05,-0.022559753242070848
250,9.562225949769528e-05,0.03693881070025985,17864,-0.0022719828902732454,-0.8130504807715576
251,0.0014599538403212227,0.5522811424015961,17863,0.0013057647669660528,0.4499748553384787
252,0.001996243718954075,0.7722149272925144,17862,0.0017870697063918136,0.628425615986419
253,0.0002905710497859715,0.1256499002257821,17861,-0.0016459005703701197,-0.6482898042209789
254,0.0019216548089176127,0.8129797278507289,17860,0.0030667245151684676,1.173550047629441
255,0.0016166145508011895,0.6812000535933401,17859,-0.0003198867935025718,-0.12002785365684848
256,-0.0005127326753799131,-0.22564502074996845,17858,0.0018666213653364696,0.7810702547908864
257,-0.002482963759142821,-1.0211242938987706,17857,-0.003107141503828276,-1.2844033532133825
258,-0.0031000404318268756,-1.33981996302711,17856,-0.005687859463086185,-2.187301734262171
259,-0.00528011424852233,-2.152061504512899,17855,-0.006375297121846004,-2.41463924764767
260,-0.003472241582903155,-1.4109138083592814,17854,-0.004797453888449543,-1.7550526812216722
261,1.3195744568372193e-05,0.005114589199163852,17853,-0.00016557303009414597,-0.06068509709137909
262,0.001075183286099719,0.4287332585074901,17852,-0.00016711244520073014,-0.056805590720466786
263,8.475600060429134e-05,0.03360502101610315,17851,0.0001395885155990098,0.04891415783775965
264,-0.0017450928126684828,-0.6821467444162671,17850,-0.0033841621382533606,-1.2308751802761584
265,-0.0045622244645859705,-1.7568022147342335,17849,-0.005281670376729166,-1.9098487470939607
266,-0.0019602641958239276,-0.7572123613297663,17848,-0.003991089635967434,-1.3463911300507343
267,0.0012132253925486844,0.49569034631401626,17847,0.0008146490184119057,0.29716787578247017
268,0.001059258844093672,0.4378667302959655,17846,0.002140156271230183,0.8171321590300872
269,-0.0015131642777650688,-0.6229562034186623,17845,-0.0016865062673639363,-0.6236633170097462
270,-5.4365000380863654e-05,-0.023071282066593778,17844,-0.0009124886728341518,-0.35700399944937977
271,0.001981056891084854,0.8698728603180014,17843,-0.0004828976041852095,-0.18774567149193805
272,-0.0028702269706207375,-1.2937548773139038,17842,-0.0019683862098879078,-0.8423653281275137
